Rk_team,Team,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,Rk_opp,G_opp,MP_opp,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp,Season
1.0,Cleveland Cavaliers,82,19755,3652,7444,0.491,1303,3401,0.383,2349,4043,0.581,1392,1793,0.776,917,2806,3723,2304,670,350,1082,1487,9999,12.0,82,19755,3382,7454,0.454,1104,3075,0.359,2278,4379,0.52,1349,1732,0.779,947,2624,3571,2101,641,361,1189,1553,9217,2024-25
2.0,Memphis Grizzlies,82,19705,3670,7654,0.479,1141,3106,0.367,2529,4548,0.556,1499,1908,0.786,1056,2819,3875,2330,726,462,1285,1711,9980,24.0,82,19705,3435,7529,0.456,1162,3230,0.36,2273,4299,0.529,1550,2013,0.77,945,2625,3570,2217,710,450,1242,1653,9582,2024-25
3.0,Denver Nuggets,82,19855,3724,7360,0.506,984,2619,0.376,2740,4741,0.578,1470,1909,0.77,919,2832,3751,2542,656,402,1169,1444,9902,25.0,82,19855,3554,7629,0.466,1156,3170,0.365,2398,4459,0.538,1319,1697,0.777,963,2518,3481,2379,717,420,1062,1562,9583,2024-25
4.0,Oklahoma City Thunder,82,19705,3660,7600,0.482,1192,3184,0.374,2468,4416,0.559,1369,1672,0.819,871,2801,3672,2202,847,465,961,1631,9881,3.0,82,19705,3109,7130,0.436,1104,3225,0.342,2005,3905,0.513,1504,1942,0.774,952,2727,3679,2018,549,392,1396,1485,8826,2024-25
5.0,Atlanta Hawks,82,19780,3556,7528,0.472,1107,3089,0.358,2449,4439,0.552,1472,1900,0.775,974,2675,3649,2426,798,419,1273,1564,9691,27.0,82,19780,3562,7398,0.481,1169,3098,0.377,2393,4300,0.557,1491,1858,0.802,845,2735,3580,2315,755,403,1315,1563,9784,2024-25
6.0,Chicago Bulls,82,19755,3543,7545,0.47,1266,3447,0.367,2277,4098,0.556,1308,1617,0.809,825,2935,3760,2383,621,386,1203,1444,9660,28.0,82,19755,3642,7791,0.467,1118,3250,0.344,2524,4541,0.556,1386,1764,0.786,899,2878,3777,2370,663,417,1032,1374,9788,2024-25
7.0,Indiana Pacers,82,19855,3574,7326,0.488,1081,2934,0.368,2493,4392,0.568,1395,1768,0.789,752,2678,3430,2398,694,448,1082,1533,9624,17.0,82,19855,3493,7372,0.474,1058,2978,0.355,2435,4394,0.554,1397,1807,0.773,918,2775,3693,2131,588,366,1230,1541,9441,2024-25
8.0,Boston Celtics,82,19830,3413,7382,0.462,1457,3955,0.368,1956,3427,0.571,1251,1565,0.799,933,2783,3716,2144,589,452,973,1303,9534,2.0,82,19830,3302,7331,0.45,1055,3041,0.347,2247,4290,0.524,1128,1451,0.777,878,2704,3582,1968,567,295,1048,1438,8787,2024-25
9.0,New York Knicks,82,19880,3553,7315,0.486,1031,2794,0.369,2522,4521,0.558,1357,1696,0.8,890,2607,3497,2254,671,324,1088,1407,9494,9.0,82,19880,3411,7192,0.474,1072,2924,0.367,2339,4268,0.548,1264,1603,0.789,893,2538,3431,2069,575,406,1189,1554,9158,2024-25
10.0,Sacramento Kings,82,19880,3529,7385,0.478,1032,2887,0.357,2497,4498,0.555,1400,1738,0.806,901,2723,3624,2169,620,357,1092,1548,9490,19.0,82,19880,3409,7196,0.474,1193,3131,0.381,2216,4065,0.545,1440,1838,0.783,819,2653,3472,2212,649,350,1140,1515,9451,2024-25
11.0,Milwaukee Bucks,82,19755,3445,7082,0.486,1161,3003,0.387,2284,4079,0.56,1421,1895,0.75,674,2882,3556,2090,601,384,1097,1469,9472,13.0,82,19755,3414,7473,0.457,1140,3232,0.353,2274,4241,0.536,1301,1661,0.783,900,2812,3712,2166,602,315,1055,1552,9269,2024-25
12.0,Detroit Pistons,82,19805,3503,7363,0.476,1051,2901,0.362,2452,4462,0.55,1414,1826,0.774,931,2739,3670,2165,652,431,1219,1695,9471,14.0,82,19805,3326,7210,0.461,1119,3054,0.366,2207,4156,0.531,1544,1989,0.776,863,2618,3481,2035,728,413,1235,1551,9315,2024-25
13.0,Minnesota Timberwolves,82,19830,3364,7182,0.468,1233,3269,0.377,2131,3913,0.545,1411,1789,0.789,908,2726,3634,2142,654,406,1186,1498,9372,5.0,82,19830,3319,7213,0.46,1040,2949,0.353,2279,4264,0.534,1284,1674,0.767,906,2611,3517,2032,687,368,1205,1571,8962,2024-25
14.0,Houston Rockets,82,19780,3484,7659,0.455,1038,2938,0.353,2446,4721,0.518,1366,1851,0.738,1200,2774,3974,1914,689,411,1139,1557,9372,6.0,82,19780,3322,7244,0.459,1010,2833,0.357,2312,4411,0.524,1348,1776,0.759,867,2589,3456,1926,651,467,1175,1577,9002,2024-25
15.0,Dallas Mavericks,82,19730,3443,7194,0.479,1020,2801,0.364,2423,4393,0.552,1458,1894,0.77,828,2702,3530,2070,636,445,1151,1458,9364,20.0,82,19730,3531,7521,0.469,1054,2904,0.363,2477,4617,0.536,1346,1728,0.779,996,2719,3715,2220,664,375,1086,1532,9462,2024-25
16.0,San Antonio Spurs,82,19730,3426,7362,0.465,1158,3246,0.357,2268,4116,0.551,1332,1721,0.774,896,2685,3581,2348,674,455,1138,1363,9342,23.0,82,19730,3595,7587,0.474,1177,3226,0.365,2418,4361,0.554,1201,1520,0.79,992,2794,3786,2296,664,356,1121,1428,9568,2024-25
17.0,Golden State Warriors,82,19730,3342,7412,0.451,1264,3475,0.364,2078,3937,0.528,1383,1811,0.764,1029,2692,3721,2386,771,391,1152,1571,9331,8.0,82,19730,3316,7126,0.465,1080,2976,0.363,2236,4150,0.539,1348,1752,0.769,869,2744,3613,2120,621,441,1291,1523,9060,2024-25
18.0,Phoenix Suns,82,19830,3381,7075,0.478,1176,3112,0.378,2205,3963,0.556,1379,1702,0.81,783,2701,3484,2277,593,392,1153,1471,9317,22.0,82,19830,3493,7386,0.473,1163,3145,0.37,2330,4241,0.549,1414,1790,0.79,945,2678,3623,2235,696,329,1001,1509,9563,2024-25
19.0,Los Angeles Lakers,82,19730,3356,7007,0.479,1092,2981,0.366,2264,4026,0.562,1494,1902,0.785,792,2687,3479,2131,633,367,1145,1415,9298,10.0,82,19730,3392,7319,0.463,1112,3124,0.356,2280,4195,0.544,1302,1680,0.775,919,2609,3528,2236,673,344,1121,1576,9198,2024-25
20.0,Los Angeles Clippers,82,19805,3409,7075,0.482,1022,2738,0.373,2387,4337,0.55,1416,1776,0.797,841,2750,3591,2064,773,370,1220,1503,9256,4.0,82,19805,3240,7032,0.461,1064,3038,0.35,2176,3994,0.545,1330,1723,0.772,798,2605,3403,2105,723,352,1233,1458,8874,2024-25
21.0,Utah Jazz,82,19805,3305,7272,0.454,1144,3267,0.35,2161,4005,0.54,1421,1836,0.774,983,2741,3724,2093,555,360,1412,1549,9175,30.0,82,19805,3655,7622,0.48,1219,3403,0.358,2436,4219,0.577,1412,1850,0.763,957,2670,3627,2429,802,527,968,1580,9941,2024-25
