Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Oklahoma City Thunder,48,11645,2094,4275,0.49,635,1773,0.358,1459,2502,0.583,960,1163,0.825,427,1674,2101,1221,471,284,587,964,5783
2,Cleveland Cavaliers,48,11570,2069,4394,0.471,703,1973,0.356,1366,2421,0.564,873,1119,0.78,580,1572,2152,1352,415,250,695,983,5714
3,Denver Nuggets,47,11380,2026,4090,0.495,648,1646,0.394,1378,2444,0.564,957,1172,0.817,445,1552,1997,1316,322,195,594,894,5657
4,Atlanta Hawks,48,11570,2080,4378,0.475,700,1885,0.371,1380,2493,0.554,792,1020,0.776,475,1552,2027,1491,452,229,711,962,5652
5,Miami Heat,47,11305,2045,4412,0.464,627,1721,0.364,1418,2691,0.527,911,1156,0.788,559,1613,2172,1343,423,201,670,889,5628
6,New Orleans Pelicans,49,11860,2058,4471,0.46,526,1560,0.337,1532,2911,0.526,965,1229,0.785,626,1531,2157,1213,440,226,705,982,5607
7,Minnesota Timberwolves,47,11355,2009,4175,0.481,663,1783,0.372,1346,2392,0.563,911,1214,0.75,528,1590,2118,1253,402,263,683,1001,5592
8,Utah Jazz,47,11430,1987,4253,0.467,618,1765,0.35,1369,2488,0.55,986,1228,0.803,554,1510,2064,1422,361,163,740,1026,5578
9,Golden State Warriors,48,11570,1970,4286,0.46,776,2139,0.363,1194,2147,0.556,853,1047,0.815,529,1532,2061,1375,473,214,739,961,5569
10,Portland Trail Blazers,48,11570,1945,4346,0.448,673,1998,0.337,1272,2348,0.542,982,1271,0.773,672,1528,2200,1159,392,231,810,989,5545
11,Toronto Raptors,48,11620,2040,4318,0.472,557,1624,0.343,1483,2694,0.55,836,1075,0.778,551,1524,2075,1421,405,221,663,1015,5473
12,Charlotte Hornets,47,11355,1937,4178,0.464,713,1928,0.37,1224,2250,0.544,879,1087,0.809,577,1572,2149,1258,321,215,741,906,5466
13,Chicago Bulls,46,11090,1986,4160,0.477,674,1827,0.369,1312,2333,0.562,776,988,0.785,466,1610,2076,1377,340,228,652,861,5422
14,New York Knicks,46,11040,1953,4164,0.469,685,1818,0.377,1268,2346,0.54,813,1029,0.79,626,1503,2129,1223,372,194,635,944,5404
15,San Antonio Spurs,46,11065,1930,4097,0.471,606,1739,0.348,1324,2358,0.561,933,1184,0.788,527,1603,2130,1192,355,221,629,886,5399
16,Philadelphia 76ers,46,11240,1910,4173,0.458,598,1675,0.357,1312,2498,0.525,946,1165,0.812,568,1449,2017,1143,418,273,646,945,5364
17,Boston Celtics,46,11090,1974,4203,0.47,722,1956,0.369,1252,2247,0.557,694,874,0.794,575,1484,2059,1102,366,243,555,938,5364
18,Phoenix Suns,47,11305,1949,4230,0.461,668,1852,0.361,1281,2378,0.539,791,989,0.8,608,1421,2029,1172,482,196,717,1008,5357
19,Sacramento Kings,48,11595,1977,4235,0.467,504,1443,0.349,1473,2792,0.528,845,1107,0.763,499,1463,1962,1212,402,213,698,978,5303
20,Detroit Pistons,45,10850,1935,4036,0.479,503,1437,0.35,1432,2599,0.551,902,1205,0.749,601,1463,2064,1198,474,295,713,1018,5275
21,Dallas Mavericks,46,11165,1941,4107,0.473,514,1492,0.345,1427,2615,0.546,861,1149,0.749,458,1606,2064,1169,356,261,700,875,5257
22,Los Angeles Lakers,45,10800,1872,3777,0.496,540,1532,0.352,1332,2245,0.593,949,1225,0.775,447,1416,1863,1123,362,185,669,875,5233
23,Los Angeles Clippers,46,11115,1815,3816,0.476,604,1648,0.367,1211,2168,0.559,950,1123,0.846,441,1430,1871,1080,405,216,698,869,5184
24,Indiana Pacers,47,11330,1865,4213,0.443,587,1724,0.34,1278,2489,0.513,863,1128,0.765,511,1508,2019,1197,347,234,676,1042,5180
25,Orlando Magic,45,10875,1849,3997,0.463,500,1483,0.337,1349,2514,0.537,978,1235,0.792,531,1459,1990,1175,370,231,635,949,5176
26,Houston Rockets,44,10735,1905,3984,0.478,503,1361,0.37,1402,2623,0.535,823,1091,0.754,704,1452,2156,1099,382,244,687,831,5136
27,Memphis Grizzlies,44,10610,1827,4024,0.454,584,1684,0.347,1243,2340,0.531,829,1036,0.8,529,1510,2039,1276,340,229,678,887,5067
28,Washington Wizards,45,10850,1859,4060,0.458,579,1628,0.356,1280,2432,0.526,757,980,0.772,521,1448,1969,1139,344,276,700,962,5054
29,Milwaukee Bucks,45,10850,1849,3835,0.482,660,1679,0.393,1189,2156,0.551,687,937,0.733,383,1443,1826,1183,345,185,660,921,5045
30,Brooklyn Nets,45,10875,1699,3832,0.443,631,1832,0.344,1068,2000,0.534,821,1045,0.786,489,1306,1795,1140,349,196,693,901,4850
,League Average,46,11224,1945,4151,0.469,617,1720,0.359,1328,2430,0.547,871,1109,0.785,534,1511,2044,1234,390,227,679,942,5378
